time,src_ip,dst_ip,protocol,length
1718059483.315,192.168.150.129,192.168.150.1,1,274
1718059484.500,192.168.150.129,192.168.150.1,1,114
1718059485.120,192.168.150.1,224.0.0.251,17,102
1718059486.001,192.168.150.129,192.168.150.1,1,90
1718059487.210,192.168.150.129,8.8.8.8,1,114
1718059488.442,192.168.150.129,192.168.150.1,6,60
1718059489.105,192.168.150.129,192.168.150.1,1,114
1718059490.550,192.168.150.129,192.168.150.1,1,90
1718059491.332,192.168.150.129,192.168.150.1,1,114
1718059492.001,192.168.150.1,192.168.150.129,1,60
